"sales"
197.317
1442.604
21848
89.577
27.023
5299
843.656
10180.4
131.993
39055
1792
23032
22284
2547.3
1603.404
14.626
215.085
190.249
381.021
3594.136
18676
281.05
2633.689
550.363
158.374
3.251
16.839
771.445
170910
7509
1279.742
236.227
89804
34.227
7813
68.592
339.937
666.091
6140
9955
751.723
25639.978
3.674
334.122
337.173
8468.1
3049.5
1091.566
147.013
321.286
15259
8054
349.189
5029.8
2132.694
0.109
900.595
86623
57.842
4890
4461
6535.128
1152.109
129.003
1862.498
16385
379136
2991
3887.5
1166.882
320.459
409.461
17.884
3463
235.903
8052
4867.7
35452.541
2943
2271.7
55656
533.339
36.625
0.574
425.026
689.738
0.5
211664
37.118
3194.3
47.407
1130.77
5623
1641.331
46854
810.126
247.3
37.779
17420
216.062
4.429
131.32
319.797
17702.6
121.541
3439.233
1587.725
4206.1
7819
274.919
2595.281
2231
8656
81.294
1361.407
287.162
17321
2510.771
6769
19118
18.717
88.142
37347.4
1584.824
41.038
8.257
2857.491
111.058
826.846
345.066
2445.048
10480.3
8729.813
57080
35935
736.65
4954.619
29.538
111.237
42.753
2173.553
282.273
142.458
2347
22046
13253.4
181.167
6.541
24669
77.829
478.567
208.572
542.442
34.493
370.986
48.274
35556.541
163.677
34.298
1969.754
2280.355
29.583
125.322
209.573
363.896
390247
3874.8
509.964
6786
57.193
851.3
1635.406
14.668
442.64
386.189
3751.005
49.142
146917
3646.899
965.462
116.149
2046.968
5161.362
1383.1
31218
17909.6
155427
4717.2
1171.864
13.309
1725.768
46433.719
19540
391.665
3060.7
1104.024
102.218
19.218
0.474
4353.4
44.778
129.233
5111.7
2896.52
4082.157
125.502
1008.757
1317.153
7146.079
112298
1678.2
6.466
1716.2
93379.316
20160.56
2059.964
114997.582
8751.654
3183.9
192.804
249.596
140.946
2496.9
1707.822
14135
18.224
4.962
12350.5
1871.327
484.779
52708
16.318
11.236
959.989
2952.896
10775
29080
977.035
15.588
1352.359
0.501
71312
42730
2842.781
78.256
14797
2589.373
361.033
1203.134
21152
35.765
30.4
14649.349
534.938
14054.855
280.79
679.287
2370.229
151.982
1357.318
3598.916
1165.909
1761.049
674.74
3746
11002.752
23113.1
2852.671
1264.935
45358
2085.2
397.969
26.201
569.439
34835
4048.1
8173
63.444
6484.892
193.534
4123.4
97.071
8.352
48.943
287.849
17005
44033
1471.34
52.724
772.8
9073
19.677
975.944
2.872
3.05
1882
1112.058
30871
57.108
1477.6
3620.447
554.39
127.442
175.41
2610.311
8696
5312.686
825.21
6909.143
6123
92.045
0.848
144.307
71.386
420.188
3163.041
378.096
1577.23
5692.5
560.054
27799
18.526
1542.921
932.666
570.255
24661
7084
15441.695
19052.046
6.22
32.703
250.583
2515
439.995
24.838
5295
6967
934.502
76.066
15156
17123.8
2648.063
241.394
24.056
165.764
13015.704
594.931
133.892
7479.7
66415
51452
17663
32145.029
8212.724
1340.208
3869.401
818.607
5.964
570.289
670.972
9616
84167
729.395
34.798
553.165
394.677
23706
3095.7
6351.9
537.482
188.155
11.643
204.688
5501
3920
2133.402
7.135
19.292
7690.8
52.961
594.977
30.31
10185.532
116.001
2704
210.99
2153.8
5610.6
3237.5
8.65
4848.092
75424.995
73.834
469.538
266.015
14.581
72.215
983.704
719.783
701.26
11001.2
243.797
1880.786
9021
688.934
789.564
151.496
27.208
220.75
6.25
355.676
823.6
4043.5
1696.271
752.011
7964
1427.933
37034
12205
12104
13090.3
3241.795
502.821
4341.2
14.692
543.383
2042.524
13.1
20.907
87.471
2903.228
5.989
4365.3
31.77
285.282
10647
6.438
34374
3570
713.962
1355.515
6948
0.041
15.417
11.021
62626
1090.9
1467.55
40.493
11419.648
3304.211
4103.776
2942.897
331.749
39.846
14.411
155.92
2370.979
42428.798
368.548
33.965
348.584
57.916
1368.4
15351
5389
8529
655.224
18769
1775.195
697.3
803.165
2691.1
1935.976
3126.426
5543.4
149.395
0.772
7665.1
467.25
1015.576
21.916
1143.852
0.123
38.811
39.185
8.87
23222
997.039
4649.1
68.17
722.693
1282.236
199.193
412.665
80.856
35.451
22.518
932.998
13854.235
726.515
10696.21
451235
5899.872
188.686
1473.5
12.249
53.353
21.761
399.841
37.676
28.905
1863.6
103.316
91.385
31.898
0.16
2.042
23.66
16.083
2.718
8212
1181.929
8411.148
4297.842
140.207
6.628
0.054
4.525
867.683
1810.57
33.067
0.24
4666
96.44
1476
0.029
2228.031
18218
0.142
5012.697
10.279
0.3
422.18
6.007
8.699
0.265
9.141
2682.98
809.709
0.639
547.939
3.224
2542.063
1428.685
21.406
6493.9
183.643
762.704
68.486
2950.77
20661
4332.5
4584
62.797
706.432
17.963
19.569
318.309
426.461
600.854
3024.047
547.344
18151
757.414
232.79
33.308
32.75
14.803
1242.237
32.203
