year,iiso3c,eiso3c,value,contig,comlang_off,colony,dist,distcap,distw,distwces,ell,ill,egdp,egdppc,epop,igdp,igdppc,ipop
2013,ALB,USA,94166952.0,0,0,0,7439.631,7770.42,8882.747,8710.583,0,0,1.44515095e+13,45660.7337641,316497531.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,VEN,1695995.0,0,0,0,8971.885,8971.885,9085.091,9079.925,0,0,1.94650892086e+11,6429.2047421,30276045.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,DEU,280347443.0,0,0,0,1493.096,1336.744,1383.712,1361.827,0,0,3.16201417734e+12,39208.7600724,80645605.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,IND,23202014.0,0,0,0,5322.44,5322.44,5735.209,5701.819,0,0,1.48977590625e+12,1164.34327261,1279498874.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,IRN,991420.0,0,0,0,2808.604,2808.604,2871.7,2830.331,0,0,2.28104456699e+11,2956.54216401,77152445.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,JPN,17043255.0,0,0,0,9501.873,9501.873,9382.621,9379.686,0,0,4.78454159749e+12,37573.3737331,127338621.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,PAK,2501944.0,0,0,0,4709.623,4709.623,4761.674,4758.687,0,0,1.43816996323e+11,793.724245977,181192646.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,SAU,1837502.0,0,0,0,3104.873,3104.873,2940.637,2911.478,0,0,5.05813554459e+11,16748.2103341,30201051.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,AFG,4751.0,0,0,0,4342.117,4342.117,4250.738,4243.15,1,0,12679050960.3,413.233959432,30682500.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,ARE,4725207.0,0,0,0,3702.809,3702.809,3723.028,3722.3,0,0,2.34968702615e+11,25992.1763764,9039978.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,ARG,16728398.0,0,0,0,11632.19,11632.19,11662.56,11655.91,0,0,3.31013918665e+11,7781.54951041,42538304.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,ARM,1584.0,0,0,0,2077.855,2077.855,2084.605,2083.35,1,0,6875045746.66,2297.66196376,2992192.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,ATG,9942.0,0,0,0,8082.156,8082.156,8093.356,8093.177,0,0,1033152446.13,11481.3851878,89985.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,AUS,1895124.0,0,0,0,15722.44,15620.51,15208.5,15152.4,0,0,8.67152305474e+11,37497.070617,23125868.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,AUT,58300317.0,0,0,0,812.9326,812.9326,848.8388,840.6949,1,0,3.49523317995e+11,41220.410466,8479375.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,AZE,933.0,0,0,0,2520.89,2520.89,2437.057,2430.505,1,0,30630571631.2,3252.75766486,9416801.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,BGD,2420597.0,0,0,0,6719.066,6719.066,6730.716,6729.023,0,0,1.1209567174e+11,713.270110219,157157394.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,BGR,70423716.0,0,0,0,324.0465,324.0465,464.8647,427.6986,0,0,34927663768.9,4807.58580819,7265115.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,BHR,846.0,0,0,0,3285.379,3285.379,3273.008,3272.601,0,0,23315293065.1,17277.9209732,1349427.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,BIH,30924151.0,0,0,0,303.8697,303.8697,376.4586,355.0778,0,0,13032998560.0,3408.62719376,3823533.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,BLR,639420.0,0,0,0,1505.639,1505.639,1517.909,1507.488,0,0,46593901367.6,4922.23762599,9466000.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,BLZ,,0,0,0,10230.51,10230.51,10193.36,10192.96,0,0,1362082437.8,3957.32172879,344193.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,BMU,41.0,0,0,0,7305.79,7305.79,7305.367,7305.175,0,0,4461518517.58,68637.6904598,65001.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,BOL,1619.0,0,0,0,11056.12,11008.7,10935.63,10933.14,1,0,14119217520.6,1357.62607661,10399931.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,BRA,40778846.0,0,0,0,9943.985,9414.849,9388.915,9313.151,0,0,1.20433302453e+12,5896.09663075,204259377.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,BTN,6303.0,0,0,0,6426.47,6426.47,6456.817,6456.214,1,0,1490217265.02,1974.74714998,754637.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,CAF,18821.0,0,0,0,4114.247,4114.247,4032.175,4028.354,1,0,1076987683.82,228.626894859,4710678.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,CAN,29516686.0,0,0,0,7606.625,7255.303,7842.518,7765.125,0,0,1.32735368873e+12,37753.6325054,35158304.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,CHL,221531.0,0,0,0,12432.5,12432.5,12433.14,12422.31,0,0,1.71771363935e+11,9773.15635254,17575833.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,CIV,648768.0,0,0,0,4655.998,4573.964,4602.338,4599.938,0,0,22039806841.8,1019.30012879,21622490.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,CMR,388148.0,0,0,0,4253.419,4253.419,4016.087,3985.708,0,0,22015198848.7,991.17708853,22211166.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,COG,61638.0,0,0,0,5092.883,5092.883,5071.78,5067.159,0,0,8719932509.58,1984.3581552,4394334.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,COM,1956.0,0,0,0,6371.083,6371.083,6393.71,6392.898,0,0,450313022.567,599.061886062,751697.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,CPV,177812.0,0,0,0,5090.82,5090.82,5064.837,5064.2,0,0,1371460925.3,2703.67529994,507258.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,CRI,454636.0,0,0,0,10418.61,10418.61,10431.94,10431.75,0,0,28444523960.8,6043.7541469,4706433.0,11346755234.8,3916.23123721,2897366.0
2013,ALB,CUB,190679.0,0,0,0,9295.044,9295.044,9182.883,9180.503,0,0,60285673300.0,5305.66748265,11362505.0,11346755234.8,3916.23123721,2897366.0
